NCTId,BaselineClassDenomCountGroupId,BaselineDenomCountGroupId
NCT04386785,0,0
NCT04378764,0,0
NCT04377438,0,0
NCT04338971,0,0
NCT04335981,0,0
NCT04332640,0,0
NCT04330001,0,0
NCT04324593,0,0
NCT04320823,0,0
NCT04319887,0,0
NCT04318132,0,0
NCT04314947,0,0
NCT04314700,0,0
NCT04313725,0,0
NCT04310566,0,0
NCT04307446,0,0
NCT04306744,0,0
NCT04305119,0,0
NCT04303273,0,0
NCT04299386,0,0
NCT04299009,0,0
NCT04298359,0,0
NCT04296773,0,0
NCT04295499,0,0
NCT04287036,0,0
NCT04285541,0,0
NCT04281940,0,0
NCT04279522,0,0
NCT04277455,0,0
NCT04263532,0,0
NCT04252183,0,0
NCT04247581,0,0
NCT04244357,0,0
NCT04243369,0,0
NCT04243239,0,0
NCT04239885,0,0
NCT04237207,0,0
NCT04236869,0,0
NCT04230486,0,0
NCT04224155,0,0
NCT04223609,0,0
NCT04220060,0,0
NCT04219891,0,0
NCT04211441,0,0
NCT04210622,0,0
NCT04207749,0,0
NCT04206839,0,0
NCT04206384,0,0
NCT04203745,0,0
NCT04202419,0,0
NCT04201340,0,0
NCT04200898,0,0
NCT04196907,0,0
NCT04195581,0,0
NCT04194307,0,0
NCT04192630,0,0
NCT04189913,0,0
NCT04189081,0,0
NCT04186806,0,0
NCT04184973,0,0
NCT04178720,0,0
NCT04177771,0,0
NCT04177212,0,0
NCT04176965,0,0
NCT04175340,0,0
NCT04166032,0,0
NCT04162652,0,0
NCT04158466,0,0
NCT04153292,0,0
NCT04152642,0,0
NCT04151992,0,0
NCT04151290,0,0
NCT04141007,0,0
NCT04136158,0,0
NCT04134286,0,0
NCT04130490,0,0
NCT04127188,0,0
NCT04121754,0,0
NCT04119609,0,0
NCT04116879,0,0
NCT04116866,0,0
NCT04112784,0,0
NCT04112628,0,0
NCT04112134,0,0
NCT04106934,0,0
NCT04096495,0,0
NCT04087395,0,0
NCT04085328,0,0
NCT04083742,0,0
NCT04082078,0,0
NCT04081727,0,0
NCT04079842,0,0
NCT04079816,0,0
NCT04078490,0,0
NCT04073823,0,0
NCT04069585,0,0
NCT04068818,0,0
NCT04065659,0,0
NCT04064606,0,0
NCT04060524,0,0
NCT04057105,0,0
NCT04056494,0,0
NCT04055519,0,0
NCT04055324,0,0
NCT04054401,0,0
NCT04046627,0,0
NCT04043234,0,0
NCT04040933,0,0
NCT04036747,0,0
NCT04035161,0,0
NCT04033315,0,0
NCT04032977,0,0
NCT04031989,0,0
NCT04031976,0,0
NCT04030702,0,0
NCT04011826,0,0
NCT04008836,0,0
NCT04005586,0,0
NCT04003831,0,0
NCT03999944,0,0
NCT03997357,0,0
NCT03996187,0,0
NCT03995355,0,0
NCT03992768,0,0
NCT03991468,0,0
NCT03972995,0,0
NCT03971721,0,0
NCT03969875,0,0
NCT03967184,0,0
NCT03964831,0,0
NCT03953274,0,0
NCT03950895,0,0
NCT03949335,0,0
NCT03944629,0,0
NCT03942016,0,0
NCT03941912,0,0
NCT03934463,0,0
NCT03934125,0,0
NCT03931213,0,0
NCT03925545,0,0
NCT03920280,0,0
NCT03918928,0,0
NCT03912584,0,0
NCT03911700,0,0
NCT03898778,0,0
NCT03897751,0,0
NCT03897712,0,0
NCT03895034,0,0
NCT03888352,0,0
NCT03872609,0,0
NCT03872466,0,0
NCT03871179,0,0
NCT03864848,0,0
NCT03864081,0,0
NCT03862300,0,0
NCT03858140,0,0
NCT03851510,0,0
NCT03839199,0,0
NCT03835026,0,0
NCT03812679,0,0
NCT03805074,0,0
NCT03799549,0,0
NCT03790046,0,0
NCT03789669,0,0
NCT03788551,0,0
NCT03782116,0,0
NCT03779984,0,0
NCT03771521,0,0
NCT03771352,0,0
NCT03764254,0,0
NCT03748823,0,0
NCT03748771,0,0
NCT03748316,0,0
NCT03748264,0,0
NCT03736798,0,0
NCT03730480,0,0
NCT03729024,0,0
NCT03728309,0,0
NCT03716492,0,0
NCT03713281,0,0
NCT03708393,0,0
NCT03706430,0,0
NCT03704636,0,0
NCT03700372,0,0
NCT03700047,0,0
NCT03696316,0,0
NCT03692741,0,0
NCT03685136,0,0
NCT03682432,0,0
NCT03681886,0,0
NCT03681496,0,0
NCT03678103,0,0
NCT03677388,0,0
NCT03670277,0,0
NCT03663010,0,0
NCT03642431,0,0
NCT03641937,0,0
NCT03631550,0,0
NCT03628898,0,0
NCT03617822,0,0
NCT03614130,0,0
NCT03613363,0,0
NCT03611101,0,0
NCT03604900,0,0
NCT03604562,0,0
NCT03604432,0,0
NCT03601182,0,0
NCT03600194,0,0
NCT03599271,0,0
NCT03589911,0,0
NCT03586167,0,0
NCT03578302,0,0
NCT03574259,0,0
NCT03564366,0,0
NCT03560141,0,0
NCT03550807,0,0
NCT03540576,0,0
NCT03538561,0,0
NCT03525704,0,0
NCT03523208,0,0
NCT03508778,0,0
NCT03502200,0,0
NCT03500341,0,0
NCT03497910,0,0
NCT03488849,0,0
NCT03488238,0,0
NCT03482297,0,0
NCT03477370,0,0
NCT03467204,0,0
NCT03465514,0,0
NCT03462576,0,0
NCT03451786,0,0
NCT03442842,0,0
NCT03441971,0,0
NCT03441880,0,0
NCT03441477,0,0
NCT03439189,0,0
NCT03435224,0,0
NCT03435211,0,0
NCT03431883,0,0
NCT03423251,0,0
NCT03421145,0,0
NCT03418545,0,0
NCT03408444,0,0
NCT03388138,0,0
NCT03384381,0,0
NCT03372434,0,0
NCT03372343,0,0
NCT03371160,0,0
NCT03366194,0,0
NCT03351192,0,0
NCT03345121,0,0
NCT03345017,0,0
NCT03339388,0,0
NCT03336944,0,0
NCT03329794,0,0
NCT03323515,0,0
NCT03315117,0,0
NCT03299933,0,0
NCT03275532,0,0
NCT03272308,0,0
NCT03269097,0,0
NCT03268356,0,0
NCT03268265,0,0
NCT03267134,0,0
NCT03257410,0,0
NCT03251079,0,0
NCT03246503,0,0
NCT03242148,0,0
NCT03239574,0,0
NCT03236519,0,0
NCT03235791,0,0
NCT03233945,0,0
NCT03230877,0,0
NCT03230747,0,0
NCT03219567,0,0
NCT03198988,0,0
NCT03190564,0,0
NCT03182660,0,0
NCT03172949,0,0
NCT03150407,0,0
NCT03148613,0,0
NCT03147820,0,0
NCT03147482,0,0
NCT03147417,0,0
NCT03143127,0,0
NCT03142594,0,0
NCT03142581,0,0
NCT03138369,0,0
NCT03138343,0,0
NCT03134989,0,0
NCT03132363,0,0
NCT03132350,0,0
NCT03129152,0,0
NCT03128840,0,0
NCT03128632,0,0
NCT03127566,0,0
NCT03127540,0,0
NCT03127527,0,0
NCT03127501,0,0
NCT03127488,0,0
NCT03125135,0,0
NCT03125122,0,0
NCT03125109,0,0
NCT03125096,0,0
NCT03125044,0,0
NCT03124992,0,0
NCT03124953,0,0
NCT03124940,0,0
NCT03124888,0,0
NCT03124849,0,0
NCT03124810,0,0
NCT03124745,0,0
NCT03124732,0,0
NCT03124719,0,0
NCT03124706,0,0
NCT03124264,0,0
NCT03124251,0,0
NCT03123380,0,0
NCT03123341,0,0
NCT03122379,0,0
NCT03120702,0,0
NCT03100760,0,0
NCT03098602,0,0
NCT03073148,0,0
NCT03072186,0,0
NCT03066063,0,0
NCT03038074,0,0
NCT03035318,0,0
NCT03034902,0,0
NCT03021707,0,0
NCT03021473,0,0
NCT03019107,0,0
NCT03017742,0,0
NCT03003767,0,0
NCT02995421,0,0
NCT02986789,0,0
NCT02972892,0,0
NCT02970799,0,0
NCT02966210,0,0
NCT02957071,0,0
NCT02956928,0,0
NCT02948751,0,0
NCT02938637,0,0
NCT02922621,0,0
NCT02919566,0,0
NCT02918942,0,0
NCT02916823,0,0
NCT02913560,0,0
NCT02911376,0,0
NCT02910674,0,0
NCT02907203,0,0
NCT02904382,0,0
NCT02888626,0,0
NCT02872844,0,0
NCT02870959,0,0
NCT02870881,0,0
NCT02863796,0,0
NCT02863432,0,0
NCT02862080,0,0
NCT02858089,0,0
NCT02856490,0,0
NCT02849847,0,0
NCT02842970,0,0
NCT02841397,0,0
NCT02833571,0,0
NCT02811328,0,0
NCT02810080,0,0
NCT02805933,0,0
NCT02805777,0,0
NCT02800057,0,0
NCT02799342,0,0
NCT02799329,0,0
NCT02795689,0,0
NCT02787343,0,0
NCT02784431,0,0
NCT02771119,0,0
NCT02764580,0,0
NCT02761759,0,0
NCT02756260,0,0
NCT02746289,0,0
NCT02746120,0,0
NCT02719444,0,0
NCT02716155,0,0
NCT02712931,0,0
NCT02711254,0,0
NCT02699021,0,0
NCT02698787,0,0
NCT02698397,0,0
NCT02697604,0,0
NCT02686450,0,0
NCT02684110,0,0
NCT02680964,0,0
NCT02680860,0,0
NCT02662049,0,0
NCT02638883,0,0
NCT02634996,0,0
NCT02634554,0,0
NCT02634125,0,0
NCT02631213,0,0
NCT02626624,0,0
NCT02624739,0,0
NCT02622919,0,0
NCT02599519,0,0
NCT02597296,0,0
NCT02596464,0,0
NCT02579486,0,0
NCT02576210,0,0
NCT02561052,0,0
NCT02553395,0,0
NCT02548429,0,0
NCT02543814,0,0
NCT02540577,0,0
NCT02540564,0,0
NCT02535234,0,0
NCT02525783,0,0
NCT02517645,0,0
NCT02506400,0,0
NCT02495116,0,0
NCT02480829,0,0
NCT02474784,0,0
NCT02474771,0,0
NCT02474758,0,0
NCT02458378,0,0
NCT02455063,0,0
NCT02441634,0,0
NCT02436005,0,0
NCT02430441,0,0
NCT02405871,0,0
NCT02403167,0,0
NCT02396914,0,0
NCT02388425,0,0
NCT02383082,0,0
NCT02380716,0,0
NCT02380014,0,0
NCT02365545,0,0
NCT02365467,0,0
NCT02364375,0,0
NCT02353377,0,0
NCT02343068,0,0
NCT02340832,0,0
NCT02327598,0,0
NCT02325609,0,0
NCT02322840,0,0
NCT02312141,0,0
NCT02300974,0,0
NCT02289534,0,0
NCT02284321,0,0
NCT02283125,0,0
NCT02280577,0,0
NCT02275624,0,0
NCT02272114,0,0
NCT02271087,0,0
NCT02268227,0,0
NCT02255539,0,0
NCT02239263,0,0
NCT02231034,0,0
NCT02223663,0,0
NCT02218450,0,0
NCT02195362,0,0
NCT02195128,0,0
NCT02191800,0,0
NCT02187458,0,0
NCT02167880,0,0
NCT02166073,0,0
NCT02142465,0,0
NCT02142374,0,0
NCT02142023,0,0
NCT02141334,0,0
NCT02134236,0,0
NCT02124538,0,0
NCT02108275,0,0
NCT02089646,0,0
NCT02086812,0,0
NCT02085174,0,0
NCT02082847,0,0
NCT02070601,0,0
NCT02036385,0,0
NCT02020447,0,0
NCT02006251,0,0
NCT02004249,0,0
NCT02003105,0,0
NCT01989390,0,0
NCT01989377,0,0
NCT01988727,0,0
NCT01988025,0,0
NCT01984151,0,0
NCT01973621,0,0
NCT01966211,0,0
NCT01957982,0,0
NCT01951131,0,0
NCT01950767,0,0
NCT01940458,0,0
NCT01940211,0,0
NCT01937000,0,0
NCT01936987,0,0
NCT01916083,0,0
NCT01906736,0,0
NCT01905241,0,0
NCT01896141,0,0
NCT01894698,0,0
NCT01883557,0,0
NCT01882309,0,0
NCT01877369,0,0
NCT01874925,0,0
NCT01867008,0,0
NCT01859975,0,0
NCT01854879,0,0
NCT01847846,0,0
NCT01835769,0,0
NCT01835366,0,0
NCT01827488,0,0
NCT01820741,0,0
NCT01801995,0,0
NCT01801241,0,0
NCT01795807,0,0
NCT01795118,0,0
NCT01792869,0,0
NCT01790867,0,0
NCT01787981,0,0
NCT01777880,0,0
NCT01773941,0,0
NCT01773265,0,0
NCT01747265,0,0
NCT01738230,0,0
NCT01738165,0,0
NCT01733264,0,0
NCT01733251,0,0
NCT01724541,0,0
NCT01721122,0,0
NCT01715454,0,0
NCT01700764,0,0
NCT01697813,0,0
NCT01697774,0,0
NCT01674400,0,0
NCT01670006,0,0
NCT01662479,0,0
NCT01660113,0,0
NCT01658189,0,0
NCT01652846,0,0
NCT01643200,0,0
NCT01640795,0,0
NCT01630707,0,0
NCT01629836,0,0
NCT01627405,0,0
NCT01614925,0,0
NCT01613742,0,0
NCT01610505,0,0
NCT01610349,0,0
NCT01607606,0,0
NCT01604967,0,0
NCT01597271,0,0
NCT01591369,0,0
NCT01582386,0,0
NCT01575210,0,0
NCT01564589,0,0
NCT01560156,0,0
NCT01558609,0,0
NCT01556750,0,0
NCT01546831,0,0
NCT01546584,0,0
NCT01533831,0,0
NCT01533103,0,0
NCT01532752,0,0
NCT01532440,0,0
NCT01524263,0,0
NCT01515618,0,0
NCT01513512,0,0
NCT01499030,0,0
NCT01494376,0,0
NCT01480570,0,0
NCT01476826,0,0
NCT01473134,0,0
NCT01470079,0,0
NCT01464580,0,0
NCT01463618,0,0
NCT01462955,0,0
NCT01450540,0,0
NCT01443299,0,0
NCT01443286,0,0
NCT01442389,0,0
NCT01436669,0,0
NCT01436461,0,0
NCT01414491,0,0
NCT01414270,0,0
NCT01412112,0,0
NCT01408017,0,0
NCT01403584,0,0
NCT01392261,0,0
NCT01379794,0,0
NCT01374243,0,0
NCT01370785,0,0
NCT01367171,0,0
NCT01365689,0,0
NCT01358682,0,0
NCT01336868,0,0
NCT01313351,0,0
NCT01313195,0,0
NCT01311726,0,0
NCT01307709,0,0
NCT01297751,0,0
NCT01286792,0,0
NCT01258400,0,0
NCT01246115,0,0
NCT01240733,0,0
NCT01239576,0,0
NCT01234480,0,0
NCT01230398,0,0
NCT01201889,0,0
NCT01194752,0,0
NCT01194739,0,0
NCT01194726,0,0
NCT01183195,0,0
NCT01180257,0,0
NCT01171066,0,0
NCT01166607,0,0
NCT01164527,0,0
NCT01158963,0,0
NCT01150227,0,0
NCT01148251,0,0
NCT01147094,0,0
NCT01145651,0,0
NCT01145378,0,0
NCT01143116,0,0
NCT01140919,0,0
NCT01127347,0,0
NCT01112475,0,0
NCT01108822,0,0
NCT01106222,0,0
NCT01103869,0,0
NCT01100983,0,0
NCT01098682,0,0
NCT01097824,0,0
NCT01092871,0,0
NCT01077141,0,0
NCT01070992,0,0
NCT01067040,0,0
NCT01062464,0,0
NCT01062412,0,0
NCT01062217,0,0
NCT01057134,0,0
NCT01043497,0,0
NCT01039064,0,0
NCT01037439,0,0
NCT01030588,0,0
NCT01029028,0,0
NCT01022554,0,0
NCT01016236,0,0
NCT01008202,0,0
NCT01000454,0,0
NCT00993772,0,0
NCT00990483,0,0
NCT00990210,0,0
NCT00986908,0,0
NCT00981188,0,0
NCT00979498,0,0
NCT00979030,0,0
NCT00969748,0,0
NCT00968474,0,0
NCT00961519,0,0
NCT00960947,0,0
NCT00957632,0,0
NCT00957138,0,0
NCT00956618,0,0
NCT00955331,0,0
NCT00946075,0,0
NCT00944411,0,0
NCT00942942,0,0
NCT00935974,0,0
NCT00932789,0,0
NCT00924716,0,0
NCT00911040,0,0
NCT00906958,0,0
NCT00906815,0,0
NCT00906009,0,0
NCT00905749,0,0
NCT00903058,0,0
NCT00901667,0,0
NCT00900705,0,0
NCT00889746,0,0
NCT00878982,0,0
NCT00877916,0,0
NCT00865930,0,0
NCT00865735,0,0
NCT00863486,0,0
NCT00863447,0,0
NCT00858091,0,0
NCT00850434,0,0
NCT00850109,0,0
NCT00846820,0,0
NCT00843752,0,0
NCT00840619,0,0
NCT00824018,0,0
NCT00821769,0,0
NCT00820040,0,0
NCT00819130,0,0
NCT00818922,0,0
NCT00810498,0,0
NCT00810459,0,0
NCT00809406,0,0
NCT00806052,0,0
NCT00802750,0,0
NCT00800891,0,0
NCT00799981,0,0
NCT00794534,0,0
NCT00791414,0,0
NCT00790621,0,0
NCT00789334,0,0
NCT00788450,0,0
NCT00788437,0,0
NCT00782119,0,0
NCT00781651,0,0
NCT00781222,0,0
NCT00780065,0,0
NCT00779623,0,0
NCT00777283,0,0
NCT00776893,0,0
NCT00776815,0,0
NCT00776152,0,0
NCT00773903,0,0
NCT00773721,0,0
NCT00769340,0,0
NCT00767910,0,0
NCT00766727,0,0
NCT00764491,0,0
NCT00764452,0,0
NCT00760643,0,0
NCT00759694,0,0
NCT00758979,0,0
NCT00758875,0,0
NCT00758095,0,0
NCT00756496,0,0
NCT00754598,0,0
NCT00748917,0,0
NCT00748033,0,0
NCT00747266,0,0
NCT00739245,0,0
NCT00732264,0,0
NCT00732134,0,0
NCT00728702,0,0
NCT00727805,0,0
NCT00727688,0,0
NCT00726297,0,0
NCT00726024,0,0
NCT00725816,0,0
NCT00725699,0,0
NCT00716313,0,0
NCT00690742,0,0
NCT00681057,0,0
NCT00680251,0,0
NCT00678808,0,0
NCT00676546,0,0
NCT00676078,0,0
NCT00670137,0,0
NCT00660556,0,0
NCT00659139,0,0
NCT00653211,0,0
NCT00639340,0,0
NCT00630526,0,0
NCT00617630,0,0
NCT00617162,0,0
NCT00616226,0,0
NCT00615342,0,0
NCT00608647,0,0
NCT00597571,0,0
NCT00591513,0,0
NCT00589069,0,0
NCT00588601,0,0
NCT00587613,0,0
NCT00587509,0,0
NCT00586456,0,0
NCT00579176,0,0
NCT00578513,0,0
NCT00578487,0,0
NCT00576953,0,0
NCT00561847,0,0
NCT00542477,0,0
NCT00529685,0,0
NCT00506220,0,0
NCT00448812,0,0
NCT00350259,0,0
NCT04371159,0,0
NCT04474496,0,0
NCT02801266,0,0
NCT01599390,0,0
NCT00312702,0,"['BG000', 'BG001', 'BG002', 'BG003']"
NCT00312663,0,"['BG000', 'BG001', 'BG002', 'BG003']"
NCT01153880,0,0
NCT02019732,0,0
NCT03972358,0,0
NCT00948233,0,0
NCT00026728,0,0
NCT01211990,0,0
NCT02663219,0,0
NCT00121108,0,0
NCT01861210,0,0
NCT02911155,0,0
NCT00724867,0,BG000
NCT03973905,0,"['BG000', 'BG001', 'BG002']"
NCT00340457,0,0
NCT02429284,0,0
NCT02889263,0,0
NCT03995745,0,0
NCT00928694,0,BG000
NCT02153996,0,0
NCT00413673,0,0
NCT03867409,0,0
NCT04004260,0,0
NCT04205877,0,0
NCT01262079,0,0
NCT00646438,0,0
NCT00341588,0,0
NCT04562636,0,0
NCT03924505,0,0
NCT02334462,0,0
NCT03311295,0,0
NCT03242278,0,0
NCT03683134,0,0
NCT04047316,0,0
NCT03952364,0,0
NCT04021030,0,0
NCT02959827,0,BG000
NCT02395536,"['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']","['BG000', 'BG001', 'BG002']"
NCT03628235,0,0
NCT02787538,0,0
NCT01290393,0,0
NCT04263311,0,0
NCT00875641,0,"['BG000', 'BG001', 'BG002', 'BG003']"
NCT03199846,0,0
NCT04587245,0,0
NCT02773979,0,0
NCT03274726,0,0
NCT01283828,0,0
NCT04191824,0,0
NCT03197688,0,0
NCT02813577,0,BG000
NCT00666380,0,0
NCT01287247,0,0
NCT04163341,0,0
NCT02987335,0,0
NCT02867722,0,0
NCT03276637,0,0
NCT03192891,0,0
NCT03373045,0,0
NCT04229212,0,0
NCT02848781,0,0
NCT00385047,0,0
NCT02993120,0,0
NCT03045120,0,0
NCT01154296,0,"['BG000', 'BG001', 'BG002']"
NCT02857764,0,0
NCT00412568,0,0
NCT03353480,0,0
NCT00800267,0,0
NCT00601835,0,"['BG000', 'BG001', 'BG002']"
NCT01087905,0,"['BG000', 'BG001', 'BG002', 'BG003', 'BG004', 'BG005', 'BG006', 'BG007', 'BG008']"
NCT02616198,0,0
NCT00007540,0,0
NCT02163525,0,0
NCT03310112,0,0
NCT02766634,0,0
NCT02971709,0,0
NCT03801928,0,0
NCT01641029,0,0
NCT02128542,0,"['BG000', 'BG001', 'BG002']"
NCT00573976,0,0
NCT00306007,0,0
NCT02766647,0,0
NCT04460898,0,0
NCT00413517,0,0
NCT02882100,0,0
NCT00533975,0,0
NCT02109757,0,0
NCT00959933,0,0
NCT00960479,0,0
NCT03266497,0,0
NCT02207569,0,BG000
NCT02569632,0,0
NCT02069925,0,0
NCT03433131,0,0
NCT02746809,"['BG000', 'BG000', 'BG000', 'BG000']",BG000
NCT00328380,0,0
NCT04552535,0,0
NCT03293875,0,0
NCT01235260,0,0
NCT03390660,0,0
NCT00837499,0,0
NCT01629537,0,0
NCT00351741,0,"['BG000', 'BG001', 'BG002']"
NCT01965561,0,BG000
NCT01927835,0,0
NCT01704235,0,0
NCT01306266,0,0
NCT00796315,0,BG000
NCT00005463,0,0
NCT03382418,0,0
NCT00054743,0,0
NCT00730964,0,BG000
NCT02886689,0,0
NCT00005455,0,0
NCT01150695,0,0
NCT00245076,0,0
NCT00935623,0,0
NCT03688126,0,0
NCT02053506,0,0
NCT03933215,0,0
NCT03933202,0,0
NCT00005171,0,0
NCT01256164,0,"['BG000', 'BG001', 'BG002']"
NCT03631472,0,0
NCT03699709,0,0
NCT00237263,0,0
NCT02939131,0,"['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']"
NCT03488264,0,0
NCT01873482,0,0
NCT02829073,0,0
NCT01369030,0,BG000
NCT01568424,0,BG000
NCT02406599,0,0
NCT03965195,0,0
NCT01368549,0,0
NCT01370954,0,0
NCT01339546,0,0
NCT02252159,0,0
NCT04072289,0,0
NCT04423770,0,0
NCT01358552,0,0
NCT02856646,0,0
NCT01940679,0,0
NCT02951598,0,0
NCT02988934,0,0
NCT01028300,0,BG000
NCT01034865,0,0
NCT02352532,0,0
NCT03198793,0,0
NCT01112917,0,BG000
NCT01764269,0,0
